Longitude,Latidute,LengthPhaseRed,LengthPhaseGreen
9.9687095,53.5510433,30,30
9.9580892,53.5516422,30,30
10.0097637,53.5521593,30,30
9.9697957,53.5459823,30,30
9.9690273,53.5460605,30,30
9.9654097,53.5463928,30,30
10.0416053,53.5871803,30,30
10.0414323,53.5872871,30,30
9.9905394,53.5603278,30,30
9.9887277,53.5620025,30,30
9.9887969,53.5620484,30,30
9.9884814,53.562044,30,30
9.988544,53.5620963,30,30
9.9848967,53.5639521,30,30
9.9839274,53.5640725,30,30
9.98448,53.5641864,30,30
9.9842631,53.5642144,30,30
9.9841127,53.5646085,30,30
9.983756,53.5646349,30,30
9.9786749,53.5719351,30,30
9.9788248,53.5724163,30,30
9.9782489,53.5723783,30,30
9.9678114,53.5886478,30,30
10.0421515,53.5846575,30,30
9.9780262,53.5491296,30,30
9.9774676,53.5492961,30,30
9.978212,53.5494028,30,30
9.9777672,53.5495849,30,30
10.0161811,53.5457192,30,30
10.0180319,53.5489252,30,30
10.0177973,53.5492348,30,30
10.0176674,53.549406,30,30
10.0177979,53.5496125,30,30
10.0174419,53.5497036,30,30
10.0158473,53.5457022,30,30
9.9888165,53.5710426,30,30
10.0422909,53.588878,30,30
10.0420855,53.5890862,30,30
10.04254,53.589191,30,30
10.0026123,53.5567493,30,30
10.0022501,53.5573496,30,30
10.0039074,53.5574396,30,30
10.0020214,53.5571442,30,30
10.0039096,53.5571535,30,30
10.0032712,53.5540956,30,30
10.0007223,53.5553785,30,30
10.0004139,53.5560951,30,30
10.0005249,53.5554854,30,30
9.9589206,53.5719079,30,30
9.9898694,53.5616827,30,30
10.0229932,53.5582001,30,30
9.9979288,53.5498748,30,30
9.9637406,53.569167,30,30
9.9632482,53.5692296,30,30
9.9548312,53.5693771,30,30
9.9629183,53.5694357,30,30
9.9635743,53.5695231,30,30
9.9629979,53.5696363,30,30
9.9547046,53.5697324,30,30
9.9574463,53.5698328,30,30
9.9578857,53.5700146,30,30
9.9572761,53.5700329,30,30
9.9559351,53.5701685,30,30
9.9577367,53.5702408,30,30
9.9565834,53.5703313,30,30
9.9556735,53.5704148,30,30
9.9562653,53.5705933,30,30
10.0123955,53.5479611,30,30
10.0422593,53.5854712,30,30
10.0194408,53.5528293,30,30
10.0242273,53.5537611,30,30
9.9965548,53.5474271,30,30
10.0002913,53.5475715,30,30
9.9972409,53.5475945,30,30
9.9810956,53.566892,30,30
9.9811868,53.5669622,30,30
9.9819636,53.5641472,30,30
9.9839916,53.5645878,30,30
9.9839292,53.5646386,30,30
9.9807319,53.56689,30,30
9.980703,53.5672296,30,30
9.9792136,53.5697416,30,30
9.9789904,53.5697785,30,30
9.9781152,53.5710791,30,30
9.9785107,53.5712747,30,30
9.9783756,53.5712794,30,30
9.9777657,53.5712905,30,30
9.9775551,53.5715896,30,30
9.9785464,53.5717971,30,30
9.9763623,53.5782233,30,30
9.9756775,53.5787017,30,30
9.9758504,53.5787554,30,30
9.9751187,53.5787748,30,30
9.9751436,53.5790476,30,30
9.9773037,53.5745038,30,30
9.9733025,53.5807626,30,30
9.9731692,53.5807838,30,30
9.9733815,53.5807958,30,30
9.9732447,53.5808135,30,30
9.9788698,53.5723069,30,30
9.9784087,53.5724222,30,30
9.9774482,53.5744026,30,30
9.9775087,53.574406,30,30
9.9777653,53.5773557,30,30
9.9778019,53.5775809,30,30
9.9773873,53.5776125,30,30
9.9765644,53.5781057,30,30
9.9766617,53.5781513,30,30
9.9762794,53.5781618,30,30
10.020035,53.5657633,30,30
10.0048857,53.5477967,30,30
10.006027,53.5515596,30,30
10.0054217,53.5527993,30,30
10.0034613,53.553825,30,30
10.004159,53.553867,30,30
10.0041373,53.5541918,30,30
10.0327045,53.5742975,30,30
9.9668043,53.5825186,30,30
9.9755594,53.5609233,30,30
9.9754053,53.5610506,30,30
9.9756143,53.5611468,30,30
9.975468,53.5602968,30,30
9.9752574,53.5604168,30,30
9.9754885,53.5605202,30,30
9.9914249,53.5893585,30,30
9.9889618,53.5471379,30,30
9.9818542,53.5543411,30,30
9.9874683,53.5489876,30,30
10.0063237,53.5518825,30,30
10.0062272,53.5518063,30,30
10.0090718,53.5522645,30,30
9.9948109,53.5521022,30,30
9.9972355,53.5525121,30,30
9.9974274,53.5523904,30,30
9.9974646,53.552528,30,30
9.9972125,53.5523749,30,30
10.0336008,53.5846733,30,30
10.0403036,53.5703765,30,30
9.9555488,53.5703532,30,30
10.0197512,53.5657842,30,30
9.9564063,53.582927,30,30
